path,compatibility,groups,faces,triangles,quads,otherFaces,missingMaterialLibraries,undefinedMaterialUses,facesWithoutTextureCoordinates,facesWithoutNormals,invalidVertexFaces,invalidTextureCoordinateFaces,invalidNormalFaces,mixedTriangleQuadGroups
blocks/pipe_rim.obj,BAKE_CANDIDATE,2,80,80,0,0,0,0,0,0,0,0,0,0
blocks/pole.obj,BAKE_CANDIDATE,1,84,84,0,0,0,0,0,0,0,0,0,0
blocks/puter.obj,NEEDS_MATERIAL_REVIEW,1,96,96,0,0,1,0,0,0,0,0,0,0
blocks/rail_narrow.obj,BAKE_CANDIDATE,1,80,80,0,0,0,0,0,0,0,0,0,0
blocks/rail_narrow_bend.obj,BAKE_CANDIDATE,1,232,232,0,0,0,0,0,0,0,0,0,0
blocks/rail_standard.obj,BAKE_CANDIDATE,1,248,248,0,0,0,0,0,0,0,0,0,0
blocks/rail_standard_bend.obj,BAKE_CANDIDATE,1,312,312,0,0,0,0,0,0,0,0,0,0
blocks/rail_standard_bend_wide.obj,BAKE_CANDIDATE,1,440,440,0,0,0,0,0,0,0,0,0,0
blocks/rail_standard_bend_wide9.obj,BAKE_CANDIDATE,1,632,632,0,0,0,0,0,0,0,0,0,0
blocks/rail_standard_buffer.obj,BAKE_CANDIDATE,1,372,372,0,0,0,0,0,0,0,0,0,0
blocks/rail_standard_ramp.obj,BAKE_CANDIDATE,1,348,348,0,0,0,0,0,0,0,0,0,0
blocks/rail_standard_short.obj,BAKE_CANDIDATE,1,56,56,0,0,0,0,0,0,0,0,0,0
blocks/rail_standard_switch.obj,BAKE_CANDIDATE,3,1304,1304,0,0,0,0,0,0,0,0,0,0
blocks/rail_standard_switch_flipped.obj,BAKE_CANDIDATE,3,1304,1304,0,0,0,0,0,0,0,0,0,0
blocks/refueler.obj,BAKE_CANDIDATE,2,488,488,0,0,0,0,0,0,0,0,0,0
blocks/rtty.obj,BAKE_CANDIDATE,1,10,10,0,0,0,0,0,0,0,0,0,0
blocks/scaffold.obj,NEEDS_MATERIAL_REVIEW,1,192,192,0,0,1,0,0,0,0,0,0,0
blocks/skeleton_holder.obj,BAKE_CANDIDATE,1,96,96,0,0,0,0,0,0,0,0,0,0
blocks/spikes.obj,BAKE_CANDIDATE,1,96,96,0,0,0,0,0,0,0,0,0,0
blocks/splitter.obj,BAKE_CANDIDATE,11,32,32,0,0,0,0,0,0,0,0,0,0
blocks/taperecorder.obj,BAKE_CANDIDATE,1,60,60,0,0,0,0,0,0,0,0,0,0
blocks/toaster.obj,BAKE_CANDIDATE,1,62,62,0,0,0,0,0,0,0,0,0,0
bombletTheta.obj,BAKE_CANDIDATE,1,116,116,0,0,0,0,0,0,0,0,0,0
bombs/Prototype.obj,NEEDS_MATERIAL_REVIEW,1,488,488,0,0,1,0,0,0,0,0,0,0
bombs/ap_mine.obj,BAKE_CANDIDATE,1,260,260,0,0,0,0,0,0,0,0,0,0
bombs/dud_balefire.obj,BAKE_CANDIDATE,1,734,734,0,0,0,0,0,0,0,0,0,0
bombs/dud_conventional.obj,NEEDS_MATERIAL_REVIEW,1,306,306,0,0,1,0,0,0,0,0,0,0
bombs/dud_nuke.obj,NEEDS_MATERIAL_REVIEW,1,260,260,0,0,1,0,0,0,0,0,0,0
bombs/dud_salted.obj,NEEDS_MATERIAL_REVIEW,1,488,488,0,0,1,0,0,0,0,0,0,0
bombs/fat_man.obj,NEEDS_MATERIAL_REVIEW,1,1312,1312,0,0,1,0,0,0,0,0,0,0
bombs/fleija.obj,NEEDS_MATERIAL_REVIEW,1,780,780,0,0,1,0,0,0,0,0,0,0
bombs/fstbmb.obj,BAKE_CANDIDATE,2,674,674,0,0,0,0,0,0,0,0,0,0
bombs/gadget.obj,BAKE_CANDIDATE,2,3546,3546,0,0,0,0,0,0,0,0,0,0
bombs/ivymike.obj,NEEDS_MATERIAL_REVIEW,1,926,926,0,0,1,0,0,0,0,0,0,0
bombs/marelet.obj,BAKE_CANDIDATE,1,256,256,0,0,0,0,0,0,0,0,0,0
bombs/n2.obj,NEEDS_MATERIAL_REVIEW,6,386,386,0,0,1,0,0,0,0,0,0,0
bombs/naval_mine.obj,NEEDS_MATERIAL_REVIEW,1,3590,3590,0,0,1,0,0,0,0,0,0,0
bombs/tsar.obj,BAKE_CANDIDATE,1,3598,3598,0,0,0,0,0,0,0,0,0,0
bombs/ufp.obj,NEEDS_MATERIAL_REVIEW,1,454,454,0,0,1,0,0,0,0,0,0,0
